2024-05-18T04:47:41.882972+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'c941e236-5b28-49ee-b93f-7879d92cb5f6', 'counter': 14, 'stdout': '\x1b[0;31m                 ^ here\x1b[0m', 'start_line': 13, 'end_line': 14, 'runner_ident': '48eef4cf-8857-46df-b22f-e9c47bda62bd', 'created': '2024-05-18T04:47:41.872627+00:00'}
2024-05-18T04:47:41.883034+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'c0535597-ee84-490b-b0cf-aa70147f1ba2', 'counter': 15, 'stdout': '\x1b[0;31mThis one looks easy to fix. It seems that there is a value started\x1b[0m', 'start_line': 14, 'end_line': 15, 'runner_ident': '48eef4cf-8857-46df-b22f-e9c47bda62bd', 'created': '2024-05-18T04:47:41.872672+00:00'}
2024-05-18T04:47:41.883116+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '6b40dfb4-6e4a-44c1-b9c3-796b2e1205cd', 'counter': 16, 'stdout': '\x1b[0;31mwith a quote, and the YAML parser is expecting to see the line ended\x1b[0m', 'start_line': 15, 'end_line': 16, 'runner_ident': '48eef4cf-8857-46df-b22f-e9c47bda62bd', 'created': '2024-05-18T04:47:41.872713+00:00'}
2024-05-18T04:47:41.883217+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '2ef3fe5a-bb8f-4fbf-9aba-ae8bb169c780', 'counter': 17, 'stdout': '\x1b[0;31mwith the same kind of quote. For instance:\x1b[0m', 'start_line': 16, 'end_line': 17, 'runner_ident': '48eef4cf-8857-46df-b22f-e9c47bda62bd', 'created': '2024-05-18T04:47:41.872753+00:00'}
2024-05-18T04:47:41.883305+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'f0144612-62cf-4baa-a88b-47123e0c12db', 'counter': 18, 'stdout': '\x1b[0;31m\x1b[0m', 'start_line': 17, 'end_line': 18, 'runner_ident': '48eef4cf-8857-46df-b22f-e9c47bda62bd', 'created': '2024-05-18T04:47:41.872793+00:00'}
2024-05-18T04:47:41.883408+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'e1fff3ee-0a0a-4eef-8d1f-71a5d575d38c', 'counter': 19, 'stdout': '\x1b[0;31m    when: "ok" in result.stdout\x1b[0m', 'start_line': 18, 'end_line': 19, 'runner_ident': '48eef4cf-8857-46df-b22f-e9c47bda62bd', 'created': '2024-05-18T04:47:41.872832+00:00'}
2024-05-18T04:47:41.883506+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '9897d78c-5a06-4b3d-8d48-a2faefbae25c', 'counter': 20, 'stdout': '\x1b[0;31m\x1b[0m', 'start_line': 19, 'end_line': 20, 'runner_ident': '48eef4cf-8857-46df-b22f-e9c47bda62bd', 'created': '2024-05-18T04:47:41.872887+00:00'}
2024-05-18T04:47:41.883604+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '8dc35ad0-3136-44a2-acd9-3e4e44a5f87f', 'counter': 21, 'stdout': '\x1b[0;31mCould be written as:\x1b[0m', 'start_line': 20, 'end_line': 21, 'runner_ident': '48eef4cf-8857-46df-b22f-e9c47bda62bd', 'created': '2024-05-18T04:47:41.872955+00:00'}
2024-05-18T04:47:41.883698+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '93774ba3-d06d-497b-b7cf-5c0743b92c7c', 'counter': 22, 'stdout': '\x1b[0;31m\x1b[0m', 'start_line': 21, 'end_line': 22, 'runner_ident': '48eef4cf-8857-46df-b22f-e9c47bda62bd', 'created': '2024-05-18T04:47:41.873026+00:00'}
2024-05-18T04:47:41.883794+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '5575ea82-37ed-423e-9f2a-adf986273929', 'counter': 23, 'stdout': '\x1b[0;31m   when: \'"ok" in result.stdout\'\x1b[0m', 'start_line': 22, 'end_line': 23, 'runner_ident': '48eef4cf-8857-46df-b22f-e9c47bda62bd', 'created': '2024-05-18T04:47:41.873075+00:00'}
